attr,term,type,l1,l2,criteria,ill,source,volume
,БИЗОН,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,арх. находка,,,
,"БИФАС, рубило",понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,арх. находка,,,
,ПЕЩЕРНЫЙ ЛЕВ,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,арх. находка,,,
,БЕЛЬКАЧИНСКАЯ КУЛЬТУРА,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,археологическая культура,,,
,ЫМЫЯХТАХСКАЯ КУЛЬТУРА,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,археологическая культура,,,
,ДЮКТАЙСКАЯ КУЛЬТУРА,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,археологическая культура,,,
?,Голоцен Якутии,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,Археологические и историко-культурные периоды,,,
,МЕЗОЛИТ,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,Археологические и историко-культурные периоды,,,
,БРОНЗОВЫЙ ВЕК,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,Археологические и историко-культурные периоды,,,
,НЕОЛИТ ,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,Археологические и историко-культурные периоды,,,
,БЕЛЬКАЧИ I,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,археологический  памятник,,,
,БЕРЕЛЕХ,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,археологический  памятник,И,,
,БЕРЕЛЕХСКОЕ КЛАДБИЩЕ МАМОНТОВ,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,археологический  памятник,И,,
,БУГАЧАНСКОЕ ПОГРЕБЕНИЕ,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,археологический  памятник,И,,
,ДЖИКИМДИНСКОЕ ПОГРЕБЕНИЕ,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,археологический  памятник,И,,
,ДИРИНГ-ЮРЯХ,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,археологический  памятник,И,,
,ДИРИНГ-ЮРЯХСКИЙ МОГИЛЬНИК,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,археологический  памятник,И,,
,ИЧЧИЛЯХКСКОЕ ПОГРЕБЕНИЕ,понятие,ИСТОРИЯ,АРХЕОЛОГИЯ,археологический  памятник,И,,
